Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,outlet
1,NCB30,196.5084,1587.2672,0.025698133999999997,14.6,OUT035,1,2,1,9,2,0.36864539453403583,6
0,FDC37,107.6938,214.3876,0.057556998,12.857645184136183,OUT019,0,2,0,28,1,0.8256678183678516,4
2,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,0,2,1,16,1,0.37149078333351915,8
1,NCD06,45.906000000000006,838.908,0.099887103,13.0,OUT017,1,1,1,6,2,1.4329025015706152,2
2,FDV10,42.3112,1065.28,0.06669343700000001,7.645,OUT035,1,2,1,9,1,0.9567320489377116,6
0,DRJ59,39.1164,308.9312,0.019356131999999998,11.65,OUT013,2,0,1,26,0,0.27766797845294433,1
2,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,2,1,0,15,1,2.3162730076227835,0
2,FDC14,43.6454,125.8362,0.072221801,12.857645184136183,OUT019,0,2,0,28,1,1.0360376486325282,4
0,FDV38,55.7956,163.7868,0.17034855100000001,19.25,OUT010,2,1,0,15,1,2.443687498543526,0
1,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,2,1,2,4,2,1.1595151512120823,3
0,FDP33,256.6672,3068.0064,0.0930934742,18.7,OUT018,2,1,2,4,1,1.3354463995324752,3
0,FDO23,93.1436,2174.5028,0.14246229066666669,17.85,OUT045,1,1,1,11,1,2.0436529496280094,7
0,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,0,2,1,16,0,1.4044548680918503,8
1,NCX29,146.7102,3791.0652,0.08929113699999999,10.0,OUT049,0,1,1,14,2,1.2809010345948715,9
2,FDV20,128.0678,2797.6916,0.059511812000000004,12.857645184136183,OUT027,2,1,3,28,1,0.8537100559198334,5
2,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,2,1,2,4,0,1.6227871707031747,3
2,FDX10,36.9874,388.1614,0.12311145300000001,12.857645184136183,OUT027,2,1,3,28,1,1.7660609195532804,5
0,FDB34,87.6198,2180.495,0.026480953999999998,12.857645184136183,OUT027,2,1,3,28,1,0.3798751199198998,5
0,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,0,2,1,16,1,1.470550112173802,8
0,FDK43,126.00200000000001,2150.534,0.02681843,9.8,OUT013,2,0,1,26,1,0.38471628749906217,1
0,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,0,1,1,14,1,1.6901301620502227,9
0,FDC02,259.9278,6768.5228,0.06910283099999999,21.35,OUT018,2,1,2,4,1,0.9912953367514467,3
2,FDL50,126.5046,373.5138,0.042277867000000004,12.15,OUT013,2,0,1,26,1,0.606485317582689,1
0,FDM39,178.1002,358.2004,0.08949892599999999,6.42,OUT010,2,1,0,15,1,1.2838818135839154,0
1,NCP05,153.3024,2428.8384,0.018756953777777776,19.6,OUT045,1,1,1,11,2,0.2690726348327689,7
0,FDV49,265.2226,5815.0972,0.025879577,10.0,OUT045,1,1,1,11,1,0.37124823434802545,7
2,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,0,2,1,16,1,1.7448481831907838,8
2,FDS02,196.8794,780.3176,0.25539489600000004,12.857645184136183,OUT019,0,2,0,28,1,3.6636960566046963,4
1,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,0,2,1,16,2,0.9723149031615809,8
0,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,2,0,1,26,1,2.292421482324128,1
2,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,2,0,1,26,1,0.41166381259652546,1
0,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,1,1,1,6,1,0.9330358106492266,2
1,NCP18,151.4708,4815.0656,0.028760012999999997,12.15,OUT017,1,1,1,6,2,0.412568723440737,2
0,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,2,1,2,4,1,0.14421400631723255,3
1,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,1,1,1,11,2,0.6908276245551104,7
0,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,0,1,1,14,0,1.0322561911702568,9
0,FDY21,194.511,4910.275,0.17348130399999998,15.1,OUT046,0,2,1,16,1,2.4886275305965406,8
0,FDI26,180.0344,892.172,0.061082177,12.857645184136183,OUT019,0,2,0,28,1,0.8762372878576636,4
0,FDM20,246.9144,3185.1872,0.0364918673,10.0,OUT018,2,1,2,4,1,0.5234838770041507,3
2,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,1,1,1,11,1,0.5748292034324374,7
0,FDF09,38.2848,484.7024,0.012090074,12.857645184136183,OUT027,2,1,3,28,1,0.173434775446174,5
2,FDY40,51.0692,147.8076,0.15028599,12.857645184136183,OUT019,0,2,0,28,1,2.155885640431643,4
0,FDY45,255.8356,2543.356,0.026015518999999997,12.857645184136183,OUT027,2,1,3,28,1,0.373198352291365,5
0,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,2,1,0,15,1,2.798296683129774,0
0,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,1,2,1,9,1,0.47457166348088925,6
2,FDZ03,186.024,1118.5439999999999,0.078946455,13.65,OUT045,1,1,1,11,1,1.1325042919668218,7
0,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,1,1,1,11,0,0.5982065331275633,7
1,NCI17,95.84100000000001,2027.361,0.14342264300000002,8.645,OUT046,0,2,1,16,2,2.057429415452857,8
2,FDJ58,170.1764,3435.528,0.10529607199999999,15.6,OUT046,0,2,1,16,1,1.5104953536830434,8
2,FDL12,59.222,599.22,0.121531501,15.85,OUT013,2,0,1,26,1,1.7433961599880587,1
0,FDH35,164.7526,4604.6728,0.05810121044444445,18.25,OUT045,1,1,1,11,1,0.8334746657946942,7
0,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,1,1,1,6,1,0.16245764070004112,2
1,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,0,1,1,14,2,2.6733343498285795,9
2,FDC29,114.0176,2290.3520000000003,0.024205661,8.39,OUT046,0,2,1,16,1,0.34723554049885974,8
0,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,0,1,1,14,1,0.4767033775685018,9
0,FDN48,89.9804,643.1628,0.113720344,12.857645184136183,OUT019,0,2,0,28,1,1.6313433917196587,4
0,FDL04,104.9622,1587.933,0.11255650699999999,19.0,OUT017,1,1,1,6,1,1.6146478935158468,2
0,FDV25,222.5456,5305.0944,0.04441604033333333,5.905,OUT045,1,1,1,11,1,0.63715788517257,7
0,FDD58,101.87,1697.79,0.05935224099999999,7.76,OUT046,0,2,1,16,1,0.8514209747651007,8
2,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,0,2,1,16,1,0.2020819365946357,8
0,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,2,1,2,4,1,0.6488478578260539,3
1,NCL18,194.6136,583.2408,0.293417759,12.857645184136183,OUT019,0,2,0,28,2,4.20914240426358,4
2,FDR12,171.3764,3091.9752,0.031382044,12.857645184136183,OUT027,2,1,3,28,1,0.4501823358717202,5
2,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,1,1,1,6,1,1.8132194973126206,2
0,FDZ55,160.99200000000002,2716.4640000000004,0.025403897999999998,6.055,OUT035,1,2,1,9,1,0.36442451428233674,6
2,FDQ49,155.963,3285.723,0.039057677,12.857645184136183,OUT027,2,1,3,28,1,0.5602909824988825,5
2,FDN33,95.6436,661.8052,0.123115764,6.305,OUT046,0,2,1,16,1,1.766122761798162,8
0,FDN27,117.2808,1523.3504,0.039624006,20.85,OUT049,0,1,1,14,1,0.5684150967883118,9
0,FDW20,122.17299999999999,369.519,0.040421193,20.75,OUT010,2,1,0,15,1,0.5798509199547878,0
0,DRG27,39.9138,690.4346,0.10527411099999999,8.895,OUT049,0,1,1,14,0,1.5101803182991762,9
0,DRI25,55.1614,1381.535,0.033970195,19.6,OUT045,1,1,1,11,0,0.4873099322376143,7
0,FDA44,57.893,622.523,0.053212652,19.7,OUT035,1,2,1,9,1,0.7633472177685101,6
1,NCR17,114.5492,1274.3412,0.024378706,9.8,OUT035,1,2,1,9,2,0.3497179091524415,6
0,FDU04,120.0414,487.3656,0.009714595,12.857645184136183,OUT019,0,2,0,28,1,0.1393580057802396,4
0,FDF41,246.046,1231.73,0.131383762,12.15,OUT049,0,1,1,14,1,1.8847290148715026,9
2,FDB56,187.4556,3755.112,0.07461309,8.75,OUT035,1,2,1,9,1,1.070341216232024,6
1,NCP18,149.9708,4363.6532,0.028459761,12.857645184136183,OUT027,2,1,3,28,2,0.40826154234347783,5
2,FDB56,187.8556,1314.2892,0.07462720099999999,8.75,OUT046,0,2,1,16,1,1.070543641636229,8
0,FDT28,151.0708,1805.6496,0.063695084,13.3,OUT045,1,1,1,11,1,0.9137200144982727,7
2,FDD10,178.5344,2854.9504,0.045797829000000005,12.857645184136183,OUT027,2,1,3,28,1,0.6569799480579918,5
2,FDW57,179.1028,3896.2616,0.11585722300000001,8.31,OUT049,0,1,1,14,1,1.661997391812681,9
2,DRB48,38.7822,667.7974,0.024832806000000002,16.75,OUT013,2,0,1,26,0,0.35623207370843246,1
0,FDP09,212.0902,3185.853,0.034027909,19.75,OUT018,2,1,2,4,1,0.48813785228426587,3
2,FDH14,141.1838,2247.7408,0.046769599999999995,17.1,OUT013,2,0,1,26,1,0.6709202171721512,1
2,FDA47,163.121,1794.3310000000001,0.11657670199999999,10.5,OUT013,2,0,1,26,1,1.672318476597045,1
2,FDG12,121.3098,2530.7058,0.004924115333333334,6.635,OUT045,1,1,1,11,1,0.07063751943186856,7
0,DRE60,225.372,679.1160000000001,0.278974075,12.857645184136183,OUT019,0,2,0,28,0,4.0019445747750675,4
0,DRK49,41.4138,812.2760000000001,0.035913805,14.15,OUT013,2,0,1,26,0,0.5151914459409166,1
0,FDD03,232.53,699.09,0.079806266,13.3,OUT046,0,2,1,16,1,1.1448384702118144,8
0,FDS52,102.4016,2732.4432,0.005505481,8.89,OUT017,1,1,1,6,1,0.07897733801779687,2
2,FDW39,176.937,176.437,0.064625342,12.857645184136183,OUT019,0,2,0,28,1,0.9270647704804947,4
0,FDX34,121.7098,4097.3332,0.071636937,12.857645184136183,OUT027,2,1,3,28,1,1.0276476456841135,5
2,FDV11,173.2054,3151.8972,0.078393078375,9.1,OUT045,1,1,1,11,1,1.1245659823506824,7
0,FDD17,239.0906,5942.265,0.032677677999999995,7.5,OUT049,0,1,1,14,1,0.4687684910805657,9
2,FDZ16,192.4478,4843.695,0.160760054,16.85,OUT017,1,1,1,6,1,2.306138396357608,2
0,FDZ46,109.0228,2542.0244,0.06911065,7.485,OUT035,1,2,1,9,1,0.9914075020292783,6
0,DRA12,140.3154,2552.6772,0.041177505,11.6,OUT017,1,1,1,6,0,0.5907003822399025,2
0,FDY58,227.0694,1141.847,0.040081193,11.65,OUT018,2,1,2,4,1,0.5749735450394895,3
1,NCF19,47.5034,680.4476,0.035307322,13.0,OUT017,1,1,1,6,2,0.5064913136739907,2
0,DRJ13,159.0578,2085.9514,0.063017847,12.65,OUT045,1,1,1,11,0,0.9040049005114733,7
2,FDB14,92.512,186.424,0.171938781,20.25,OUT010,2,1,0,15,1,2.4664996982833927,0
2,FDJ38,190.153,3036.048,0.040197932,8.6,OUT035,1,2,1,9,1,0.5766481917166572,6
0,FDW11,62.7194,866.8716,0.049058014000000004,12.6,OUT017,1,1,1,6,1,0.7037480202292609,2
0,FDL40,95.041,868.8689999999999,0.01161096,17.7,OUT035,1,2,1,9,1,0.1665617795486205,6
0,DRI49,82.4276,1137.1864,0.183507295,14.15,OUT046,0,2,1,16,0,2.632452580609499,8
0,FDV38,52.7956,928.1252,0.102349519,19.25,OUT017,1,1,1,6,1,1.4682264016571709,2
0,DRG23,151.7682,762.341,0.08670898699999999,8.88,OUT013,2,0,1,26,0,1.2438595238962324,1
1,NCP30,40.2822,707.0796,0.032835147,20.5,OUT045,1,1,1,11,2,0.4710274185821455,7
0,FDY25,180.5976,7968.2944,0.033809913,12.857645184136183,OUT027,2,1,3,28,1,0.48501065163122065,5
1,NCH54,160.292,1438.128,0.07266912,13.5,OUT046,0,2,1,16,2,1.0424545382493997,8
1,NCR53,224.4404,6976.2524,0.144338493,12.857645184136183,OUT027,2,1,3,28,2,2.070567485500433,5
0,FDS52,101.7016,101.2016,0.009163216,8.89,OUT010,2,1,0,15,1,0.13144835253488016,0
0,FDG02,188.5188,952.0939999999999,0.011307038,7.855,OUT018,2,1,2,4,1,0.1622019514927168,3
1,NCO26,116.0492,1969.4364,0.076855628,7.235,OUT046,0,2,1,16,2,1.1025109179608563,8
0,FDH35,165.4526,5262.4832,0.059956876,12.857645184136183,OUT027,2,1,3,28,1,0.86009459706484,5
0,FDB51,60.5852,1314.2892,0.038532062,6.92,OUT045,1,1,1,11,1,0.5527509195103399,7
0,FDX44,90.8172,535.3032,0.043209581,9.3,OUT017,1,1,1,6,1,0.6198509602057246,2
1,NCN07,132.1284,263.6568,0.056816465,18.5,OUT010,2,1,0,15,2,0.8150447093144677,0
1,NCC31,154.5972,1402.1748,0.019866705,8.02,OUT035,1,2,1,9,2,0.28499226063714594,6
1,NCX54,105.1622,1693.7952,0.048331717,9.195,OUT017,1,1,1,6,2,0.6933291297326245,2
1,NCO55,105.5938,2143.876,0.091221855,12.8,OUT045,1,1,1,11,2,1.3085976097175622,7
1,NCC30,177.6344,2676.5159999999996,0.027622076000000002,16.6,OUT049,0,1,1,14,2,0.3962447664437085,9
2,FDI16,53.06399999999999,905.488,0.14164533829999998,14.0,OUT035,1,2,1,9,1,2.0319335879216163,6
0,FDP16,246.3802,7370.406,0.039355947,18.6,OUT049,0,1,1,14,1,0.5645697313694297,9
0,FDB11,226.8404,6301.1312,0.060836524,16.0,OUT035,1,2,1,9,1,0.8727133414456997,6
1,NCB06,160.692,1597.92,0.082316506,17.6,OUT035,1,2,1,9,2,1.1808484161158679,6
0,FDA45,178.237,529.311,0.155350299,21.25,OUT035,1,2,1,9,1,2.2285342689019925,6
1,NCO26,117.5492,1969.4364,0.076841095,7.235,OUT035,1,2,1,9,2,1.102302438873668,6
0,DRJ25,50.3692,1034.6532,0.151419185,14.6,OUT017,1,1,1,6,0,2.1721415723938233,2
2,FDR28,161.52100000000002,1794.3310000000001,0.026001976,13.85,OUT018,2,1,2,4,1,0.37300407497231247,3
2,FDI04,197.6426,2768.3964,0.073209447,13.65,OUT018,2,1,2,4,1,1.0502056481195712,3
0,DRK12,31.29,898.83,0.041683481,12.857645184136183,OUT027,2,1,3,28,0,0.5979587194462053,5
0,FDX20,226.172,3169.208,0.042560252,7.365,OUT046,0,2,1,16,1,0.6105361926281492,8
1,NCI18,223.5746,3589.9936,0.014081156000000001,18.35,OUT018,2,1,2,4,2,0.20199728544941462,3
2,FDB36,132.5626,262.3252,0.030340533875000006,5.465,OUT018,2,1,2,4,1,0.4352416436431788,3
0,FDN13,99.8358,1910.1802,0.152918384,18.6,OUT017,1,1,1,6,1,2.193647912381,2
0,DRD24,140.9154,1701.7848,0.030969273999999998,13.85,OUT017,1,1,1,6,0,0.44426105927234477,2
2,FDQ28,154.5656,2471.4496,0.06037677599999999,14.0,OUT013,2,0,1,26,1,0.8661181550852333,1
2,FDM22,54.763999999999996,1331.6,0.04192285,14.0,OUT013,2,0,1,26,1,0.6013925204935582,1
0,FDR07,97.0094,1808.9786,0.077367431,12.857645184136183,OUT027,2,1,3,28,1,1.1098528447660752,5
0,FDV25,222.5456,3315.684,0.045838211,5.905,OUT018,2,1,2,4,1,0.6575592367457257,3
0,DRF49,114.2518,2618.5914,0.071077939,7.27,OUT046,0,2,1,16,0,1.0196286962049905,8
2,FDW51,214.55599999999998,2769.728,0.09465987099999999,6.155,OUT046,0,2,1,16,1,1.3579167067669558,8
2,DRL01,233.4958,5375.0034,0.077608838,19.5,OUT017,1,1,1,6,0,1.1133158813724793,2
0,FDP25,216.8824,2838.9712,0.021327477,15.2,OUT017,1,1,1,6,1,0.3059473568423519,2
2,FDL50,125.0046,1743.0644,0.042485444000000004,12.15,OUT018,2,1,2,4,1,0.6094630553850209,3
1,NCB30,198.8084,5555.4352,0.025578526,12.857645184136183,OUT027,2,1,3,28,2,0.3669295914197153,5
0,FDW11,61.9194,619.194,0.048980800000000005,12.6,OUT018,2,1,2,4,1,0.7026403683859966,3
1,NCM43,164.821,2120.573,0.019471688,14.5,OUT035,1,2,1,9,2,0.27932565473445087,6
0,FDK44,173.0738,3823.0236,0.122918852,16.6,OUT017,1,1,1,6,1,1.7632980157707467,2
2,FDM15,151.4366,1360.2294,0.057373797000000004,11.8,OUT013,2,0,1,26,1,0.823039759656506,1
2,FDS31,178.8318,3969.4996,0.044155597000000005,13.1,OUT013,2,0,1,26,1,0.6334217681700505,1
0,FDI32,115.1834,345.5502,0.291865402,17.7,OUT010,2,1,0,15,1,4.186873501053617,0
0,FDR47,196.5794,585.2382,0.0853547126,17.85,OUT010,2,1,0,15,1,1.2244321592286131,0
2,FDB35,92.6804,1010.6844,0.064750025,12.3,OUT045,1,1,1,11,1,0.9288533755880364,7
1,NCU05,81.4618,161.1236,0.098312421,11.8,OUT010,2,1,0,15,2,1.410313341316581,0
2,DRY23,42.1112,42.6112,0.191013663,12.857645184136183,OUT019,0,2,0,28,0,2.7401330835159614,4
0,FDO24,157.4604,3010.7476,0.176573035,11.1,OUT045,1,1,1,11,1,2.5329790930208054,7
2,FDQ28,153.0656,6024.1584,0.060134441,12.857645184136183,OUT027,2,1,3,28,1,0.8626418061143545,5
0,FDV39,198.1426,988.7130000000001,0.0072946519999999996,11.3,OUT045,1,1,1,11,1,0.10464339023714693,7
1,NCO17,117.944,239.688,0.128478462,12.857645184136183,OUT019,0,2,0,28,2,1.8430518462202792,4
2,FDU50,112.8176,1374.2112,0.075107656,5.75,OUT013,2,0,1,26,1,1.0774358744742574,1
2,FDT12,226.8062,4739.8302,0.049381405999999996,12.857645184136183,OUT027,2,1,3,28,1,0.708387149725167,5
2,FDK58,100.0016,1012.0160000000001,0.045165795999999994,11.35,OUT018,2,1,2,4,1,0.6479132954114013,3
2,FDO08,165.7526,657.8104,0.09415375,12.857645184136183,OUT019,0,2,0,28,1,1.350656289503704,4
1,NCW29,130.431,778.9860000000001,0.028907832,14.0,OUT049,0,1,1,14,2,0.41468921956604426,9
2,FDE04,179.766,2336.958,0.018059621,19.75,OUT045,1,1,1,11,1,0.25906924248586144,7
1,NCB19,85.0882,2233.0932,0.09043609400000001,6.525,OUT049,0,1,1,14,2,1.297325695038681,9
0,FDV15,103.9648,1661.8368,0.146399712,10.3,OUT049,0,1,1,14,1,2.1001361262225973,9
2,FDL58,264.7568,4745.8224,0.07426435599999999,5.78,OUT049,0,1,1,14,1,1.0653385501622838,9
2,FDA08,164.1526,3124.5994,0.050186725999999994,11.85,OUT045,1,1,1,11,1,0.7199396425686609,7
0,FDT43,50.1324,467.3916,0.020631654,16.35,OUT018,2,1,2,4,1,0.29596562259032966,3
1,NCX06,182.5976,5070.7328,0.01561108,12.857645184136183,OUT027,2,1,3,28,2,0.2239443823315108,5
0,FDT20,37.6164,540.6296,0.041395445,10.5,OUT046,0,2,1,16,1,0.5938267795606087,8
2,FDB41,48.0718,992.7078,0.097313129,19.0,OUT046,0,2,1,16,1,1.3959782773934686,8
1,NCN55,238.8538,6008.845,0.059582996,14.6,OUT049,0,1,1,14,2,0.8547312060844527,9
2,FDE40,62.9194,2105.2596,0.09866365199999999,12.857645184136183,OUT027,2,1,3,28,1,1.4153518274015076,5
2,FDX49,232.63,5359.69,0.101338651,12.857645184136183,OUT027,2,1,3,28,1,1.453725277463413,5
1,NCM53,104.62799999999999,745.696,0.052146455999999994,18.75,OUT045,1,1,1,11,2,0.7480524012238297,7
2,FDE36,161.8868,3275.736,0.041764487,5.26,OUT035,1,2,1,9,1,0.5991207683649954,6
0,FDN57,140.2154,1701.7848,0.054344185999999996,18.25,OUT045,1,1,1,11,1,0.7795793223197072,7
0,FDI24,177.937,6704.606,0.07836248400000001,12.857645184136183,OUT027,2,1,3,28,1,1.1241270993001702,5
0,FDI19,242.7512,4119.9704,0.052339069,15.1,OUT046,0,2,1,16,1,0.7508154771490073,8
2,FDF24,81.5934,327.5736,0.042464962,15.5,OUT010,2,1,0,15,1,0.6091692365820351,0
0,FDG52,45.7402,780.9834,0.06573288299999999,13.65,OUT049,0,1,1,14,1,0.9429526901600955,9
0,DRF36,189.3846,3630.6074,0.023625114,16.1,OUT045,1,1,1,11,0,0.33890746586664905,7
2,FDS45,107.3622,317.5866,0.051643608,12.857645184136183,OUT019,0,2,0,28,1,0.7408389358667478,4
0,FDX40,39.7164,231.6984,0.165694219,12.85,OUT010,2,1,0,15,1,2.376920080472144,0
0,DRK12,32.99,133.16,0.041878397000000005,9.5,OUT035,1,2,1,9,0,0.6007548324138238,6
0,DRC27,245.1802,5650.6446,0.058091482,13.8,OUT035,1,2,1,9,0,0.8333351091155818,6
2,FDL58,263.7568,2636.5679999999998,0.07731122380000001,5.78,OUT017,1,1,1,6,1,1.1090465400974308,2
1,NCD30,96.0726,1272.3438,0.026903714,19.7,OUT045,1,1,1,11,2,0.38593970527046295,7
1,NCZ54,161.5552,324.9104,0.0813447597,14.65,OUT010,2,1,0,15,2,1.1669085013286506,0
2,FDE10,130.0626,131.1626,0.150554711,6.67,OUT010,2,1,0,15,1,2.159740502386389,0
2,FDR44,131.2968,260.9936,0.09157041555555556,6.11,OUT010,2,1,0,15,1,1.31359778768853,0
2,FDP28,260.0936,260.9936,0.13497562800000001,13.65,OUT010,2,1,0,15,1,1.9362551240700692,0
0,FDX15,160.6578,3690.5294,0.15616879,17.2,OUT013,2,0,1,26,1,2.240275702642573,1
0,FDA39,40.2822,1139.1838,0.011040999499999999,6.32,OUT035,1,2,1,9,1,0.1583855705915298,6
2,FDY24,52.9298,1995.4026,0.133700752,4.88,OUT049,0,1,1,14,1,1.9179667469450228,9
2,FDC60,88.3514,1416.8224,0.115119905,5.425,OUT017,1,1,1,6,1,1.651420402642687,2
2,FDH28,37.2506,265.6542,0.11003099699999999,15.85,OUT046,0,2,1,16,1,1.5784188960972152,8
0,FDT25,121.7072,3552.7088,0.051038045,7.5,OUT017,1,1,1,6,1,0.7321520012025339,2
0,DRJ13,161.5578,2406.867,0.062837968,12.65,OUT013,2,0,1,26,0,0.901424496622094,1
1,NCO07,211.956,213.05599999999998,0.017116983,12.857645184136183,OUT019,0,2,0,28,2,0.24554689267584115,4
0,FDW20,124.17299999999999,2956.152,0.024129332000000003,20.75,OUT013,2,0,1,26,1,0.34614058417559573,1
0,DRF27,152.134,153.134,0.049754975,12.857645184136183,OUT019,0,2,0,28,0,0.7137460793420289,4
0,FDS49,79.7644,1649.8524,0.07721649277777778,9.0,OUT035,1,2,1,9,1,1.1076876027107034,6
0,FDX25,181.9292,3101.2964,0.101561568,12.857645184136183,OUT027,2,1,3,28,1,1.456923070945747,5
1,NCX42,165.6526,4769.1254,0.0059496440000000005,12.857645184136183,OUT027,2,1,3,28,2,0.08534895411927805,5
2,FDG33,170.4764,3435.528,0.13956116,12.857645184136183,OUT027,2,1,3,28,1,2.0020355909821195,5
0,FDL56,86.4198,1133.8574,0.126035694,14.1,OUT045,1,1,1,11,1,1.8080098010229466,7
0,FDF14,152.334,2603.278,0.027164679,7.55,OUT035,1,2,1,9,1,0.3896833056962595,6
1,NCD06,45.406000000000006,605.878,0.099325278,13.0,OUT046,0,2,1,16,2,1.4248429981535933,8
0,DRM47,192.8846,2293.0152,0.04357366,12.857645184136183,OUT027,2,1,3,28,0,0.6250737536815684,5
2,FDS46,118.7782,119.1782,0.082741482,12.857645184136183,OUT019,0,2,0,28,1,1.1869447904747026,4
2,FDB35,92.9804,1929.4884,0.064565202,12.3,OUT013,2,0,1,26,1,0.9262020489293006,1
0,FDX21,109.8912,2074.6328,0.08455456900000001,12.857645184136183,OUT027,2,1,3,28,1,1.212953922983683,5
1,NCU05,79.9618,241.6854,0.058451805,12.857645184136183,OUT027,2,1,3,28,2,0.8385040219438319,5
1,NCR38,251.3724,6795.1548,0.113748685,17.25,OUT045,1,1,1,11,2,1.6317499496092895,7
1,NCR18,42.7112,639.168,0.020603511,15.85,OUT017,1,1,1,6,2,0.29556190505432606,2
1,NCU41,192.1846,3248.4382,0.052044976,18.85,OUT035,1,2,1,9,2,0.7465966482638167,6
2,FDY56,227.6062,7222.5984,0.06276442900000001,16.35,OUT017,1,1,1,6,1,0.9003695634635762,2
0,DRJ51,229.0668,3225.1352,0.08797726199999999,14.1,OUT035,1,2,1,9,0,1.26205320822182,6
0,FDK21,249.0408,3755.112,0.010010425,7.905,OUT035,1,2,1,9,1,0.14360175231315925,6
0,FDY25,179.3976,3440.8544,0.033946163,12.0,OUT013,2,0,1,26,1,0.48696518790242477,1
2,FDU44,163.4552,974.7312,0.058414678,12.15,OUT035,1,2,1,9,1,0.8379714269483015,6
